[2021-08-17 20:31:44,646][SpringContextShutdownHook][manage-tax][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:218][shutdown][INFO ][][] =>Shutting down ExecutorService 'applicationTaskExecutor'
[2021-08-17 20:31:57,759][main][manage-tax][com.zt.javastudy.JavaStudyApplication:55][logStarting][INFO ][][] =>Starting JavaStudyApplication using Java 1.8.0_212 on jl-zhengtao with PID 10960 (D:\item\java-study\target\classes started by zhengtao in D:\item\java-study)
[2021-08-17 20:31:57,760][main][manage-tax][com.zt.javastudy.JavaStudyApplication:664][logStartupProfileInfo][INFO ][][] =>The following profiles are active: dev
[2021-08-17 20:31:59,666][main][manage-tax][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108][initialize][INFO ][][] =>Tomcat initialized with port(s): 19003 (http)
[2021-08-17 20:31:59,684][main][manage-tax][org.apache.coyote.http11.Http11NioProtocol:173][log][INFO ][][] =>Initializing ProtocolHandler ["http-nio-19003"]
[2021-08-17 20:31:59,685][main][manage-tax][org.apache.catalina.core.StandardService:173][log][INFO ][][] =>Starting service [Tomcat]
[2021-08-17 20:31:59,685][main][manage-tax][org.apache.catalina.core.StandardEngine:173][log][INFO ][][] =>Starting Servlet engine: [Apache Tomcat/9.0.39]
[2021-08-17 20:31:59,913][main][manage-tax][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173][log][INFO ][][] =>Initializing Spring embedded WebApplicationContext
[2021-08-17 20:31:59,913][main][manage-tax][org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:289][prepareWebApplicationContext][INFO ][][] =>Root WebApplicationContext: initialization completed in 2105 ms
[2021-08-17 20:32:00,184][main][manage-tax][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181][initialize][INFO ][][] =>Initializing ExecutorService 'applicationTaskExecutor'
[2021-08-17 20:32:00,360][main][manage-tax][org.thymeleaf.templatemode.TemplateMode:150][parse][WARN ][][] =>[THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
[2021-08-17 20:32:00,927][main][manage-tax][org.yeauty.standard.ServerEndpointExporter:77][init][INFO ][][] =>[34mNetty WebSocket started on port: 8086 with context path(s): '/imserver/{clientOrderId}' .[0m
[2021-08-17 20:32:00,934][main][manage-tax][org.apache.coyote.http11.Http11NioProtocol:173][log][INFO ][][] =>Starting ProtocolHandler ["http-nio-19003"]
[2021-08-17 20:32:00,953][main][manage-tax][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220][start][INFO ][][] =>Tomcat started on port(s): 19003 (http) with context path ''
[2021-08-17 20:32:00,972][main][manage-tax][com.zt.javastudy.JavaStudyApplication:61][logStarted][INFO ][][] =>Started JavaStudyApplication in 4.018 seconds (JVM running for 5.393)
[2021-08-17 20:32:00,975][main][manage-tax][com.zt.javastudy.JavaStudyApplication:34][main][INFO ][][] =>java-study ok.....
[2021-08-17 20:32:00,975][main][manage-tax][com.zt.javastudy.JavaStudyApplication:35][main][ERROR][][] =>slf4j ok.........
[2021-08-17 20:32:16,152][http-nio-19003-exec-1][manage-tax][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173][log][INFO ][][] =>Initializing Spring DispatcherServlet 'dispatcherServlet'
[2021-08-17 20:32:16,152][http-nio-19003-exec-1][manage-tax][org.springframework.web.servlet.DispatcherServlet:525][initServletBean][INFO ][][] =>Initializing Servlet 'dispatcherServlet'
[2021-08-17 20:32:16,153][http-nio-19003-exec-1][manage-tax][org.springframework.web.servlet.DispatcherServlet:547][initServletBean][INFO ][][] =>Completed initialization in 1 ms
